| Index || Information          || Parent || Right Sibling 
| 0     || program              || -1     || -1         
| 1     || BEGIN                || 0      || 0          
| 2     || stmtlist             || 0      || 1          
| 3     || stmt                 || 2      || 0          
| 4     || stmtlist             || 2      || 3          
| 5     || stmt                 || 4      || 0          
| 6     || stmtlist             || 4      || 5          
| 7     || stmt                 || 6      || 0          
| 8     || stmtlist             || 6      || 7          
| 9     || stmt                 || 8      || 0          
| 10    || stmtlist             || 8      || 9          
| 11    || stmt                 || 10     || 0          
| 12    || stmtlist             || 10     || 11         
| 13    || stmt                 || 12     || 0          
| 14    || stmtlist             || 12     || 13         
| 15    || stmt                 || 14     || 0          
| 16    || stmtlist             || 14     || 15         
| 17    || stmt                 || 16     || 0          
| 18    || END                  || 16     || 17         
| 19    || simple_stmt          || 17     || 0          
| 20    || iostmt               || 19     || 0          
| 21    || out_stmt             || 20     || 0          
| 22    || ;                    || 20     || 21         
| 23    || print                || 21     || 0          
| 24    || (                    || 21     || 23         
| 25    || identifier           || 21     || 24         
| 26    || )                    || 21     || 25         
| 27    || struct_stmt          || 15     || 0          
| 28    || if_stmt              || 27     || 0          
| 29    || if                   || 28     || 0          
| 30    || condition            || 28     || 29         
| 31    || cmp_stmt             || 28     || 30         
| 32    || ;                    || 28     || 31         
| 33    || {                    || 31     || 0          
| 34    || stmt_block           || 31     || 33         
| 35    || stmt                 || 34     || 0          
| 36    || }                    || 34     || 35         
| 37    || simple_stmt          || 35     || 0          
| 38    || assignment           || 37     || 0          
| 39    || identifier           || 38     || 0          
| 40    || =                    || 38     || 39         
| 41    || identifier           || 38     || 40         
| 42    || ;                    || 38     || 41         
| 43    || (                    || 30     || 0          
| 44    || identifier           || 30     || 43         
| 45    || relation             || 30     || 44         
| 46    || identifier           || 30     || 45         
| 47    || )                    || 30     || 46         
| 48    || >                    || 45     || 0          
| 49    || struct_stmt          || 13     || 0          
| 50    || if_stmt              || 49     || 0          
| 51    || if                   || 50     || 0          
| 52    || condition            || 50     || 51         
| 53    || cmp_stmt             || 50     || 52         
| 54    || ;                    || 50     || 53         
| 55    || {                    || 53     || 0          
| 56    || stmt_block           || 53     || 55         
| 57    || stmt                 || 56     || 0          
| 58    || }                    || 56     || 57         
| 59    || simple_stmt          || 57     || 0          
| 60    || assignment           || 59     || 0          
| 61    || identifier           || 60     || 0          
| 62    || =                    || 60     || 61         
| 63    || identifier           || 60     || 62         
| 64    || ;                    || 60     || 63         
| 65    || (                    || 52     || 0          
| 66    || identifier           || 52     || 65         
| 67    || relation             || 52     || 66         
| 68    || identifier           || 52     || 67         
| 69    || )                    || 52     || 68         
| 70    || >                    || 67     || 0          
| 71    || simple_stmt          || 11     || 0          
| 72    || assignment           || 71     || 0          
| 73    || identifier           || 72     || 0          
| 74    || =                    || 72     || 73         
| 75    || identifier           || 72     || 74         
| 76    || ;                    || 72     || 75         
| 77    || simple_stmt          || 9      || 0          
| 78    || iostmt               || 77     || 0          
| 79    || in_stmt              || 78     || 0          
| 80    || ;                    || 78     || 79         
| 81    || stdin                || 79     || 0          
| 82    || (                    || 79     || 81         
| 83    || identifier           || 79     || 82         
| 84    || )                    || 79     || 83         
| 85    || simple_stmt          || 7      || 0          
| 86    || iostmt               || 85     || 0          
| 87    || in_stmt              || 86     || 0          
| 88    || ;                    || 86     || 87         
| 89    || stdin                || 87     || 0          
| 90    || (                    || 87     || 89         
| 91    || identifier           || 87     || 90         
| 92    || )                    || 87     || 91         
| 93    || simple_stmt          || 5      || 0          
| 94    || iostmt               || 93     || 0          
| 95    || in_stmt              || 94     || 0          
| 96    || ;                    || 94     || 95         
| 97    || stdin                || 95     || 0          
| 98    || (                    || 95     || 97         
| 99    || identifier           || 95     || 98         
| 100   || )                    || 95     || 99         
| 101   || simple_stmt          || 3      || 0          
| 102   || decl_stmt            || 101    || 0          
| 103   || my                   || 102    || 0          
| 104   || decl_list            || 102    || 103        
| 105   || identifier           || 104    || 0          
| 106   || :                    || 104    || 105        
| 107   || type                 || 104    || 106        
| 108   || ,                    || 104    || 107        
| 109   || decl_list            || 104    || 108        
| 110   || identifier           || 109    || 0          
| 111   || :                    || 109    || 110        
| 112   || type                 || 109    || 111        
| 113   || ,                    || 109    || 112        
| 114   || decl_list            || 109    || 113        
| 115   || identifier           || 114    || 0          
| 116   || :                    || 114    || 115        
| 117   || type                 || 114    || 116        
| 118   || ,                    || 114    || 117        
| 119   || decl_list            || 114    || 118        
| 120   || identifier           || 119    || 0          
| 121   || :                    || 119    || 120        
| 122   || type                 || 119    || 121        
| 123   || ;                    || 119    || 122        
| 124   || int                  || 122    || 0          
| 125   || int                  || 117    || 0          
| 126   || int                  || 112    || 0          
| 127   || int                  || 107    || 0          
